algorithm,method,n_criteria,rep,ms,feasible,score_excess
direct,RTOPSIS,1,0,15.95169999927748,True,4.999999998478444e-07
direct,RTOPSIS,1,1,14.896299995598383,True,4.999999998478444e-07
direct,RTOPSIS,1,2,13.5833999956958,True,4.999999998478444e-07
direct,RTOPSIS,1,3,14.024200005223975,True,4.999999998478444e-07
direct,RTOPSIS,1,4,14.580099988961592,True,4.999999998478444e-07
direct,RTOPSIS,1,5,16.310700011672452,True,4.999999998478444e-07
direct,RTOPSIS,1,6,18.802899998263456,True,4.999999998478444e-07
direct,RTOPSIS,1,7,16.088200005469844,True,4.999999998478444e-07
direct,RTOPSIS,1,8,20.250699992175214,True,4.999999998478444e-07
direct,RTOPSIS,1,9,16.760300000896677,True,4.999999998478444e-07
direct,RTOPSIS,1,10,20.035299996379763,True,4.999999998478444e-07
direct,RTOPSIS,1,11,22.984399998676963,True,4.999999998478444e-07
direct,RTOPSIS,1,12,24.53070000046864,True,4.999999998478444e-07
direct,RTOPSIS,1,13,17.38969999132678,True,4.999999998478444e-07
direct,RTOPSIS,1,14,15.41900000302121,True,4.999999998478444e-07
direct,RTOPSIS,1,15,15.692000000854023,True,4.999999998478444e-07
direct,RTOPSIS,1,16,15.285699992091395,True,4.999999998478444e-07
direct,RTOPSIS,1,17,15.970299995387904,True,4.999999998478444e-07
direct,RTOPSIS,1,18,15.174599990132265,True,4.999999998478444e-07
direct,RTOPSIS,1,19,13.487200005329214,True,4.999999998478444e-07
direct,RTOPSIS,1,20,14.156399993225932,True,4.999999998478444e-07
direct,RTOPSIS,1,21,15.305300010368228,True,4.999999998478444e-07
direct,RTOPSIS,1,22,21.083900006487966,True,4.999999998478444e-07
direct,RTOPSIS,1,23,18.09990000037942,True,4.999999998478444e-07
direct,RTOPSIS,1,24,20.580800002790056,True,4.999999998478444e-07
direct,RTOPSIS,1,25,16.91500000015367,True,4.999999998478444e-07
direct,RTOPSIS,1,26,17.147200007457286,True,4.999999998478444e-07
direct,RTOPSIS,1,27,17.90360000450164,True,4.999999998478444e-07
direct,RTOPSIS,1,28,17.46869999624323,True,4.999999998478444e-07
direct,RTOPSIS,1,29,18.764000007649884,True,4.999999998478444e-07
direct,RTOPSIS,1,30,15.601699997205287,True,4.999999998478444e-07
direct,RTOPSIS,1,31,16.28149999305606,True,4.999999998478444e-07
direct,RTOPSIS,1,32,16.14269999845419,True,4.999999998478444e-07
direct,RTOPSIS,1,33,16.77909999853,True,4.999999998478444e-07
direct,RTOPSIS,1,34,14.238199990359135,True,4.999999998478444e-07
direct,RTOPSIS,1,35,13.924800005042925,True,4.999999998478444e-07
direct,RTOPSIS,1,36,13.816999999107793,True,4.999999998478444e-07
direct,RTOPSIS,1,37,13.732699997490272,True,4.999999998478444e-07
direct,RTOPSIS,1,38,16.898200003197417,True,4.999999998478444e-07
direct,RTOPSIS,1,39,18.467800007783808,True,4.999999998478444e-07
direct,RTOPSIS,1,40,17.53830000234302,True,4.999999998478444e-07
direct,RTOPSIS,1,41,18.76430000993423,True,4.999999998478444e-07
direct,RTOPSIS,1,42,15.158700000029057,True,4.999999998478444e-07
direct,RTOPSIS,1,43,14.460100006544963,True,4.999999998478444e-07
direct,RTOPSIS,1,44,14.107499999227002,True,4.999999998478444e-07
direct,RTOPSIS,1,45,17.48149999184534,True,4.999999998478444e-07
direct,RTOPSIS,1,46,16.088399992440827,True,4.999999998478444e-07
direct,RTOPSIS,1,47,14.438500002142973,True,4.999999998478444e-07
direct,RTOPSIS,1,48,13.146700002835132,True,4.999999998478444e-07
direct,RTOPSIS,1,49,13.145200005965307,True,4.999999998478444e-07
direct,RTOPSIS,1,50,13.70709999173414,True,4.999999998478444e-07
direct,RTOPSIS,1,51,16.069100005552173,True,4.999999998478444e-07
direct,RTOPSIS,1,52,17.351400005281903,True,4.999999998478444e-07
direct,RTOPSIS,1,53,17.149700011941604,True,4.999999998478444e-07
direct,RTOPSIS,1,54,16.361300004064105,True,4.999999998478444e-07
direct,RTOPSIS,1,55,14.131700008874759,True,4.999999998478444e-07
direct,RTOPSIS,1,56,13.114000001223758,True,4.999999998478444e-07
direct,RTOPSIS,1,57,16.211699999985285,True,4.999999998478444e-07
direct,RTOPSIS,1,58,19.70620000793133,True,4.999999998478444e-07
direct,RTOPSIS,1,59,23.695399999269284,True,4.999999998478444e-07
direct,RTOPSIS,1,60,18.547200001194142,True,4.999999998478444e-07
direct,RTOPSIS,1,61,15.262900007655844,True,4.999999998478444e-07
direct,RTOPSIS,1,62,15.310399990994483,True,4.999999998478444e-07
direct,RTOPSIS,1,63,16.875299988896586,True,4.999999998478444e-07
direct,RTOPSIS,1,64,14.068200005567633,True,4.999999998478444e-07
direct,RTOPSIS,1,65,13.035399999353103,True,4.999999998478444e-07
direct,RTOPSIS,1,66,14.22630000161007,True,4.999999998478444e-07
direct,RTOPSIS,1,67,13.577200006693602,True,4.999999998478444e-07
direct,RTOPSIS,1,68,13.541499996790662,True,4.999999998478444e-07
direct,RTOPSIS,1,69,17.263200003071688,True,4.999999998478444e-07
direct,RTOPSIS,1,70,19.957399999839254,True,4.999999998478444e-07
direct,RTOPSIS,1,71,18.511099988245405,True,4.999999998478444e-07
direct,RTOPSIS,1,72,18.852199995308183,True,4.999999998478444e-07
direct,RTOPSIS,1,73,15.747199999168515,True,4.999999998478444e-07
direct,RTOPSIS,1,74,17.373499998939224,True,4.999999998478444e-07
direct,RTOPSIS,1,75,19.39259999198839,True,4.999999998478444e-07
direct,RTOPSIS,1,76,20.223200001055375,True,4.999999998478444e-07
direct,RTOPSIS,1,77,16.120100000989623,True,4.999999998478444e-07
direct,RTOPSIS,1,78,15.420600000652485,True,4.999999998478444e-07
direct,RTOPSIS,1,79,16.45900000585243,True,4.999999998478444e-07
direct,RTOPSIS,1,80,16.952599995420314,True,4.999999998478444e-07
direct,RTOPSIS,1,81,16.921799993724562,True,4.999999998478444e-07
direct,RTOPSIS,1,82,15.237799991155043,True,4.999999998478444e-07
direct,RTOPSIS,1,83,13.631300011184067,True,4.999999998478444e-07
direct,RTOPSIS,1,84,13.276600002427585,True,4.999999998478444e-07
direct,RTOPSIS,1,85,14.590399994631298,True,4.999999998478444e-07
direct,RTOPSIS,1,86,17.52910000504926,True,4.999999998478444e-07
direct,RTOPSIS,1,87,19.779099995503202,True,4.999999998478444e-07
direct,RTOPSIS,1,88,17.348499997751787,True,4.999999998478444e-07
direct,RTOPSIS,1,89,16.821400000480935,True,4.999999998478444e-07
direct,RTOPSIS,1,90,13.916900003096089,True,4.999999998478444e-07
direct,RTOPSIS,1,91,13.908799999626353,True,4.999999998478444e-07
direct,RTOPSIS,1,92,18.554499998572282,True,4.999999998478444e-07
direct,RTOPSIS,1,93,18.676500010769814,True,4.999999998478444e-07
direct,RTOPSIS,1,94,16.29930001217872,True,4.999999998478444e-07
direct,RTOPSIS,1,95,15.585999994073063,True,4.999999998478444e-07
direct,RTOPSIS,1,96,14.966800008551218,True,4.999999998478444e-07
direct,RTOPSIS,1,97,14.364099988597445,True,4.999999998478444e-07
direct,RTOPSIS,1,98,15.548099996522069,True,4.999999998478444e-07
direct,RTOPSIS,1,99,15.249899995978922,True,4.999999998478444e-07
direct,RTOPSIS,1,100,15.558099999907427,True,4.999999998478444e-07
direct,RTOPSIS,1,101,23.30100000835955,True,4.999999998478444e-07
direct,RTOPSIS,1,102,14.24129999941215,True,4.999999998478444e-07
direct,RTOPSIS,1,103,16.26119999855291,True,4.999999998478444e-07
direct,RTOPSIS,1,104,19.33110000391025,True,4.999999998478444e-07
direct,RTOPSIS,1,105,16.8102000025101,True,4.999999998478444e-07
direct,RTOPSIS,1,106,16.274100009468384,True,4.999999998478444e-07
direct,RTOPSIS,1,107,15.544100009719841,True,4.999999998478444e-07
direct,RTOPSIS,1,108,17.012700001941994,True,4.999999998478444e-07
direct,RTOPSIS,1,109,19.817299995338544,True,4.999999998478444e-07
direct,RTOPSIS,1,110,18.142000000807457,True,4.999999998478444e-07
direct,RTOPSIS,1,111,22.17870000458788,True,4.999999998478444e-07
direct,RTOPSIS,1,112,17.82470000034664,True,4.999999998478444e-07
direct,RTOPSIS,1,113,15.921499987598509,True,4.999999998478444e-07
direct,RTOPSIS,1,114,16.857100010383874,True,4.999999998478444e-07
direct,RTOPSIS,1,115,16.06480000191368,True,4.999999998478444e-07
direct,RTOPSIS,1,116,16.368700002203695,True,4.999999998478444e-07
direct,RTOPSIS,1,117,16.91999999457039,True,4.999999998478444e-07
direct,RTOPSIS,1,118,19.92039999458939,True,4.999999998478444e-07
direct,RTOPSIS,1,119,18.39940001082141,True,4.999999998478444e-07
direct,RTOPSIS,1,120,15.968200008501299,True,4.999999998478444e-07
direct,RTOPSIS,1,121,15.391200009617023,True,4.999999998478444e-07
direct,RTOPSIS,1,122,14.423400003579445,True,4.999999998478444e-07
direct,RTOPSIS,1,123,13.273899996420369,True,4.999999998478444e-07
direct,RTOPSIS,1,124,12.56029999058228,True,4.999999998478444e-07
direct,RTOPSIS,1,125,12.705300003290176,True,4.999999998478444e-07
direct,RTOPSIS,1,126,14.50640000985004,True,4.999999998478444e-07
direct,RTOPSIS,1,127,19.34840000467375,True,4.999999998478444e-07
direct,RTOPSIS,1,128,15.497800006414764,True,4.999999998478444e-07
direct,RTOPSIS,1,129,16.63860000553541,True,4.999999998478444e-07
direct,RTOPSIS,1,130,16.56780000485014,True,4.999999998478444e-07
direct,RTOPSIS,1,131,17.42519999970682,True,4.999999998478444e-07
direct,RTOPSIS,1,132,17.257100000279024,True,4.999999998478444e-07
direct,RTOPSIS,1,133,17.84050000424031,True,4.999999998478444e-07
direct,RTOPSIS,1,134,22.13129999290686,True,4.999999998478444e-07
direct,RTOPSIS,1,135,17.068499990273267,True,4.999999998478444e-07
direct,RTOPSIS,1,136,14.48260000324808,True,4.999999998478444e-07
direct,RTOPSIS,1,137,13.685400001122616,True,4.999999998478444e-07
direct,RTOPSIS,1,138,26.063800003612414,True,4.999999998478444e-07
direct,RTOPSIS,1,139,29.02170000015758,True,4.999999998478444e-07
direct,RTOPSIS,1,140,28.49140000762418,True,4.999999998478444e-07
direct,RTOPSIS,1,141,28.92969999811612,True,4.999999998478444e-07
direct,RTOPSIS,1,142,27.295699997921474,True,4.999999998478444e-07
direct,RTOPSIS,1,143,31.87249999609776,True,4.999999998478444e-07
direct,RTOPSIS,1,144,17.080899997381493,True,4.999999998478444e-07
