canonical,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie,R,rank
Politechnika Warszawska,56.935,87.47818946936263,86.09603378966673,78.08192394173429,78.31694428376748,72.22018572825024,62.75392865988346,0.746804499525824,1
Politechnika Gdanska,38.49666666666667,81.67915426460023,98.34200922546825,48.53064815720012,84.26700261767272,52.498778103616814,67.95760231701216,0.7311171192624462,2
AGH,49.305,85.65123678538438,86.5332246531187,98.993058950044,80.5522603162776,67.17375366568915,46.49693440692275,0.7200833512508928,3
Politechnika Wroclawska,43.94,85.55886277327312,90.81343435653288,57.30765470720501,70.85461622172765,50.57429130009775,55.127097012247205,0.6678980047439239,4
Politechnika Poznanska,25.090000000000003,81.77666016627323,86.3942868787166,97.13363965196989,71.25658094687202,45.94330400782013,57.535091310699016,0.655656313831293,5
Politechnika Slaska,27.026666666666664,76.75254028533307,87.29923491598896,68.8258871834979,72.1472759536858,58.96871945259043,51.318483024246746,0.6516831361911878,6
Politechnika Lodzka,17.75,83.82428410140615,88.9794557344251,58.31068530648157,69.43450425984568,57.98509286412512,67.80748176566031,0.6508952552686523,7
PJATK,4.651666666666666,86.32864620753362,58.1843611641133,8.05161794896862,79.4625437504289,8.027859237536656,91.37691378430156,0.6216712113124465,8
Politechnika Krakowska,18.815,69.61408190495742,86.64900613178713,80.1720598298954,68.7281247855371,43.73778103616813,44.25624617748598,0.6082513219299098,9
Politechnika Lubelska,7.636666666666667,65.8010879605871,82.31136881495341,100.0,60.38735673879155,32.83235581622678,47.92333237296618,0.559382399732125,10
ZUT,9.496666666666666,68.5363850969927,73.87969841240438,50.44090331410696,60.10941283738075,54.65542521994135,45.341461072275216,0.5490447923820313,11
Politechnika Opolska,5.895,67.62804064456533,78.56931142439007,41.9356730863232,59.00646084765536,34.292521994134894,55.960089162509306,0.542715956009024,12
WAT,9.875,79.39546340962742,73.49530390322522,26.733796069997076,63.845723977686056,73.71700879765396,18.579060963096627,0.5413157806226376,13
Politechnika Bialostocka,7.715,63.096582161551886,74.0816213112021,28.87085736631147,50.68726163982,40.40811339198436,55.63760797812385,0.49708897770263805,14
Politechnika Bydgoska,4.816666666666666,68.141229600739,61.3076823326726,65.32798905073808,56.97948019098226,34.99511241446726,24.990775420666097,0.49066307305734597,15
Politechnika Czestochowska,5.628333333333333,59.47860002052757,64.44211852318408,36.69566917587252,51.65736918989401,55.69403714565005,46.49238529930601,0.4885260669459864,16
Politechnika Rzeszowska,9.47,59.07318074515038,64.94970452566645,57.440610030306,54.56867224188472,29.276637341153467,25.779287407564667,0.4744756003176293,17
Uniwersytet Morski w Gdyni,4.495,61.500564507851806,56.73848205850207,22.1370612963144,59.34077785076323,29.881476050830887,17.906803948625413,0.46860574606191285,18
Politechnika Swietokrzyska,3.233333333333333,55.82469465257109,75.51268038754377,32.61902434255548,48.93479347836744,35.56329423264907,35.61951263893734,0.4570104551421579,19
Politechnika Koszalinska,3.783333333333333,63.507133326490816,69.8810692651118,40.252224068823935,46.2744732791498,41.849951124144674,37.3168352363767,0.4529977123630739,20
Politechnika Morska w Szczecinie,2.6966666666666668,47.80355126757672,58.25475630314371,20.461433180174016,50.97010755007401,26.435728250244377,41.30589715984048,0.44195062563085086,21
Uniwersytet Bielsko-Bialski,1.91,70.16832597762496,60.33326540819919,21.124254570339232,37.306738301355885,23.75977517106549,19.677923180736048,0.37331569099317974,22
Uniwersytet Radomski,1.585,56.85620445448014,54.896167169930166,15.968325349496528,36.71310503044147,23.80865102639296,37.0792707275034,0.36872732788749885,23
