target_rank,feasible,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
4,True,0.0,0.0,0.0,0.0,1.4027174392675201,0.0,5.101860857237828
4,True,0.0,0.0,0.0,0.0,1.2401648438456037,0.0,5.660695523390591
4,True,0.0,0.0,0.0,0.0,1.3387016753937053,0.0,5.324547161047533
4,True,0.0,0.0,0.0,0.0,2.50185076595395,0.0,1.4607821875939675
4,True,0.0,0.0,0.0,0.0,0.07641773949937924,0.0,9.868570913723895
4,True,0.0,0.0,0.0,0.0,0.21342627604907793,0.0,9.373499381240736
4,True,0.0,0.0,0.0,0.0,0.7190838358340335,0.0,7.49630695624165
4,True,0.0,0.0,0.0,0.0,2.920268500449019,0.0,0.14009463171051895
4,True,0.0,0.0,0.0,0.0,0.1392959550675532,0.0,9.62392441057811
4,True,0.0,0.0,0.0,0.0,0.37570659857556477,0.0,8.762675887697247
4,True,0.0,0.0,0.0,0.0,0.5603090089915552,0.0,8.07925967789307
4,True,0.0,0.0,0.0,0.0,0.20257022190731666,0.0,9.38729457322851
4,True,0.0,0.0,0.0,0.0,0.9120167837665782,0.0,6.8146299243839525
4,True,0.0,0.0,0.0,0.0,1.338148537658801,0.0,5.330840304725526
4,True,0.0,0.0,0.0,0.0,2.755025215654261,0.0,0.6544028408666636
4,True,0.0,0.0,0.0,0.0,0.7261176530598101,0.0,7.4955479533169385
4,True,0.0,0.0,0.0,0.0,2.1655681032950236,0.0,2.5542951333185404
4,True,0.0,0.0,0.0,0.0,2.548791774147219,0.0,1.308323678757073
4,True,0.0,0.0,0.0,0.0,0.22756331711155653,0.0,9.296582978387846
4,True,0.0,0.0,0.0,0.0,1.5531754618924087,0.0,4.588699526460161
4,True,0.0,0.0,0.0,0.0,2.350264739888519,0.0,1.9540686080432579
4,True,0.0,0.0,0.0,0.0,1.2298269518895344,0.0,5.699387008327639
4,True,0.0,0.0,0.0,0.0,0.9113047793453344,0.0,6.817619865824776
4,True,0.0,0.0,0.0,0.0,0.2853124706813315,0.0,9.077698079331887
4,True,0.0,0.0,0.0,0.0,0.46619284674903616,0.0,8.418956950000734
4,True,0.0,0.0,0.0,0.0,0.5303204844181564,0.0,8.183946920491225
4,True,0.0,0.0,0.0,0.0,2.4122344117747274,0.0,1.7450406827935416
4,True,0.0,0.0,0.0,0.0,1.32392375443241,0.0,5.3851713001931145
4,True,0.0,0.0,0.0,0.0,2.265850179242823,0.0,2.2211434682292586
4,True,0.0,0.0,0.0,0.0,1.736350150808852,0.0,3.9694334922928176
4,True,0.0,0.0,0.0,0.0,1.479668785761179,0.0,4.835070728142021
4,True,0.0,0.0,0.0,0.0,2.861595943813411,0.0,0.32105020906841863
4,True,0.0,0.0,0.0,0.0,2.9658853895203285,0.0,6.068112679002979e-09
4,True,0.0,0.0,0.0,0.0,1.0129325774931863,0.0,6.455635480661148
4,True,0.0,0.0,0.0,0.0,1.2370020907663482,0.0,5.679267018959056
