method,scope,focal_rank,k,target_rank,feasible,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
RTOPSIS,all,5,1,4,True,2.158739832468992,1.0456573369962308,0.9625268994208458,0.7667509730274302,1.259603382313046,1.765333892118931,1.5534508367353927
RTOPSIS,all,5,2,3,True,12.586406310608073,4.907760702147145,4.295251091447838,2.757527186676745,6.324046445133169,9.795955116367882,8.13045809776024
RTOPSIS,all,5,3,2,True,14.976071638204191,5.616538963793816,4.8410646837791615,2.866360348030117,7.3254851703331125,11.506119205617315,9.585318376821771
RTOPSIS,fast_moving,5,1,4,True,0.0,0.0,1.4025658398815977,0.8350102978119556,1.6831464586896772,2.388870149267924,2.100788790528796
RTOPSIS,fast_moving,5,2,3,True,0.0,0.0,6.318749312814331,2.866360348030117,9.234953802979362,14.295083593116075,11.919954848735859
RTOPSIS,fast_moving,5,3,2,True,0.0,0.0,7.217234208837153,2.866360348030117,10.950792610753425,17.094052767580948,14.2996760036881
SAW,all,5,1,4,True,0.05465834340762088,0.06709909509412526,0.06807252109326534,0.016047509406491578,0.15498149792134708,0.04668622655487065,0.06471775429902626
SAW,all,5,2,3,True,3.706386718749999,3.70917967747999,3.990241053051846,2.4826476557406885,9.264836277250232,3.0679264609298706,4.6045986192705275
SAW,all,5,3,2,True,4.658535156249998,4.705106210927779,5.060791246283403,2.866360348030117,11.723142999101444,3.9108714999501135,5.831607908050984
SAW,fast_moving,5,1,4,True,0.0,0.0,0.09588180968431725,0.07772475330921624,0.1831372646321494,0.010268674754343454,0.07309462601886585
SAW,fast_moving,5,2,3,True,0.0,0.0,4.7934015692526755,2.866360348030117,11.085755899363846,3.6975488136932744,5.574745040256623
SAW,fast_moving,5,3,2,True,0.0,0.0,6.135009996283403,2.866360348030117,14.113115108378993,4.725758886958465,7.0683289418991935
VIKOR,all,5,1,4,True,0.06502804690383113,0.12031248997613764,0.11432340648026562,0.011934914188693746,0.8752613017634636,0.06499677342856058,0.04023951289644501
VIKOR,all,5,2,3,True,2.9642273252624585,1.7573810462719774,1.7395654445490183,0.49819628553011697,3.6999979183943044,0.8861336363262973,3.173370216299387
VIKOR,all,5,3,2,True,8.565862052493456,5.134342111545798,5.050218870466838,1.474758785530117,10.670197639401046,2.5819563509765606,9.121738327143103
VIKOR,fast_moving,5,1,4,True,0.0,0.0,0.07708414038565259,0.038984095678162856,0.8958182153164129,0.0978484729663609,0.054008964992802166
VIKOR,fast_moving,5,2,3,True,0.0,0.0,3.633564498273356,1.059719723030117,7.613742452790118,1.8228092734298706,2.46141876244651
VIKOR,fast_moving,5,3,2,True,0.0,0.0,10.436894082255964,2.866360348030117,22.044755247655257,5.338434273429671,7.1351126208290765
COPRAS,all,5,1,4,True,0.05465834340762088,0.06709909509412526,0.06807252109326534,0.016047509406491578,0.15498149792134708,0.04668622655487065,0.06471775429902626
COPRAS,all,5,2,3,True,3.706386718749999,3.70917967747999,3.990241053051846,2.4826476557406885,9.264836277250232,3.0679264609298706,4.6045986192705275
COPRAS,all,5,3,2,True,4.658535156249998,4.705106210925136,5.060791246283403,2.866360348030117,11.723142999102077,3.910871499951507,5.831607908050984
COPRAS,fast_moving,5,1,4,True,0.0,0.0,0.09588180968431725,0.07772475330921624,0.1831372646321494,0.010268674754343454,0.07309462601886585
COPRAS,fast_moving,5,2,3,True,0.0,0.0,4.7934015692526755,2.866360348030117,11.085755899363846,3.6975488136932744,5.574745040256623
COPRAS,fast_moving,5,3,2,True,0.0,0.0,6.135009996283403,2.866360348030117,14.113115108381036,4.725758886954045,7.068328941898172
ARAS,all,5,1,4,True,0.0932113798863432,0.07690594321151378,0.04551569537867284,0.0370911337536417,0.15072611038978723,0.03383838432070019,0.05189849914222222
ARAS,all,5,2,3,True,3.7299963853878793,3.726232977333377,3.9865724962825033,2.426630102654048,9.243173682625372,3.0679264609298706,4.648915546173427
ARAS,all,5,3,2,True,4.658535156249998,4.6613281149767705,5.088082428632779,2.866360348030117,11.724015394665654,3.926009491344451,5.831607908050984
ARAS,fast_moving,5,1,4,True,0.0,0.0,0.07026146258404253,0.05607988748190795,0.18564265080839304,0.04983136380012909,0.07592362356393378
ARAS,fast_moving,5,2,3,True,0.0,0.0,4.767822496283403,2.866360348030117,11.113548039041177,3.7022840128343173,5.538639158047987
ARAS,fast_moving,5,3,2,True,0.0,0.0,6.135009996283403,2.866360348030117,14.119072466377613,4.715842987476759,7.063491492223129
WASPAS,all,5,1,4,True,1.3663961886640652,0.7073220974241123,0.7777793649472953,0.4297626755957129,1.8808244229412185,0.7791489466752621,1.0885000492446228
WASPAS,all,5,2,3,True,6.256080327030161,3.553002159058294,3.7573088735348814,2.207180660530117,9.086720212677047,3.90921332786362,5.137776052032761
WASPAS,all,5,3,2,True,7.955767268231134,4.603256431544612,4.881887089187586,2.866360348030117,11.815000159877743,5.059458166112163,6.728290463268493
WASPAS,fast_moving,5,1,4,True,0.0,0.0,1.0957269902273636,0.6357845091531145,2.634916082699934,1.095548898938692,1.485905744377214
WASPAS,fast_moving,5,2,3,True,0.0,0.0,5.279191022414631,2.866360348030117,12.628003225865491,5.407517456269817,7.119888638060412
WASPAS,fast_moving,5,3,2,True,0.0,0.0,6.943447411788107,2.866360348030117,16.45631580525857,7.068949877652364,9.319566157712844
