scope,target_rank,feasible,norm,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
All criteria,4,True,0.037926423441977296,2.158739832468992,1.0456573369962308,0.9625268994208458,0.7667509730274302,1.259603382313046,1.765333892118931,1.5534508367353927
All criteria,3,True,0.2026365036242558,12.586406310608073,4.907760702147145,4.295251091447838,2.757527186676745,6.324046445133169,9.795955116367882,8.13045809776024
All criteria,2,True,0.23778393576972653,14.976071638204191,5.616538963793816,4.8410646837791615,2.866360348030117,7.3254851703331125,11.506119205617315,9.585318376821771
Fast-moving criteria,4,True,0.0395188932872989,0.0,0.0,1.4025658398815977,0.8350102978119556,1.6831464586896772,2.388870149267924,2.100788790528796
Fast-moving criteria,3,True,0.21905746387562142,0.0,0.0,6.318749312814331,2.866360348030117,9.234953802979362,14.295083593116075,11.919954848735859
Fast-moving criteria,2,True,0.2601752724424432,0.0,0.0,7.217234208837153,2.866360348030117,10.950792610753425,17.094052767580948,14.2996760036881
